0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
2.3.2.2 : 408,409
2.3.2.3 : 409
2.3.2.4 : 409,410
2.3.2.5 : 410
2.3.2.6 : 410,411
2.3.2.7 : 411,412
2.3.2.8 : 412
2.3.3.1 : 413
2.3.3.2 : 413,414
2.3.3.3 : 414
2.3.3.4 : 414,415
2.3.3.5 : 415
2.3.3.6 : 415,416
2.3.3.7 : 416,417
2.3.3.8 : 417
2.3.3.9 : 417,418
2.3.3.10 : 418
2.3.4.1 : 418,419
2.3.4.2 : 419,420
2.3.4.3 : 420
2.3.4.4 : 421
2.3.4.5 : 421
2.3.4.6 : 421
2.3.4.7 : 421
2.3.4.8 : 421,422
2.3.4.9 : 422
2.3.4.10 : 422
2.3.5.1 : 422
2.3.5.2 : 422,423
2.3.5.3 : 423
2.3.5.4 : 423,424
2.3.5.5 : 424
2.3.6.1 : 424
2.3.6.2 : 424,425
2.3.6.3 : 425
2.3.6.4 : 425,426
2.3.6.5 : 426
2.3.6.6 : 426
2.3.6.7 : 426,427
2.3.6.8 : 427
2.3.6.9 : 427
2.3.6.10 : 427
2.3.6.4n66 : 425
2.3.7.1 : 427
2.3.7.2 : 427,428
2.3.7.3 : 428,429
2.3.7.4 : 429
2.3.7.5 : 429,430
2.3.7.6 : 430
2.3.7.7 : 430
2.3.7.8 : 430,431
2.3.7.9 : 431,432
2.3.8.1 : 432
2.3.8.2 : 432,433
2.3.8.3 : 433
2.3.8.4 : 433,434
2.3.8.5 : 434
2.3.8.6 : 434
2.3.8.7 : 434
2.3.8.8 : 434,435
2.3.8.9 : 435,436
2.3.8.10 : 436
2.3.8.11 : 436,437
2.3.8.12 : 437
2.3.8.13 : 437,438
2.3.9.1 : 438
2.3.9.2 : 438
2.3.9.3 : 438,439
2.3.9.4 : 439
2.3.9.5 : 439
2.3.9.6 : 439
2.3.9.7 : 439
2.3.9.8 : 439
2.3.9.9 : 439,440
2.3.9.10 : 440
2.3.9.11 : 440
2.3.9.12 : 440,441
2.3.9.13 : 441
2.3.9.14 : 441,442
2.3.9.15 : 442
2.3.9.16 : 442,443
2.3.9.17 : 443
2.3.9.18 : 443
2.3.9.19 : 443,444
2.3.9.20 : 444
2.3.9.21 : 444
2.3.9.22 : 444
2.3.9.23 : 445
2.3.9.24 : 445
2.3.9.25 : 445
2.3.9.26 : 446
2.3.9.27 : 446,447
2.3.9.28 : 447
2.3.9.29 : 447
2.3.9.30 : 447
2.3.9.31 : 447,448
2.3.9.32 : 448
2.3.10.1 : 448
2.3.10.2 : 448,449
2.3.10.3 : 449
2.3.10.4 : 449,450
2.3.10.5 : 450
2.3.10.6 : 450,451
2.3.10.7 : 451
2.3.10.8 : 451,452
2.3.10.9 : 452
2.3.10.10 : 452
2.3.10.11 : 452,453
2.3.10.12 : 453,454
3.1.1.1 : 455,456
